,ID,Elem,Alpha,Niv,Param,NS,Val
344,P-24,Tub,0.1,Inf,Q,5,13.528990745544434
345,P-24,Tub,0.1,Inf,V,5,0.7416571974754333
346,P-25,Tub,0.1,Inf,Q,5,8.597796440124512
347,P-25,Tub,0.1,Inf,V,5,1.0773922204971313
348,P-27,Tub,0.1,Inf,Q,5,5.994307041168213
349,P-27,Tub,0.1,Inf,V,5,0.3286069929599762
350,P-30,Tub,0.1,Inf,Q,5,6.129814147949219
351,P-30,Tub,0.1,Inf,V,5,0.33603549003601074
352,P-44,Tub,0.1,Inf,Q,5,5.754255771636963
353,P-44,Tub,0.1,Inf,V,5,0.7415221929550171
354,P-58,Tub,0.1,Inf,Q,5,8.255395889282227
355,P-58,Tub,0.1,Inf,V,5,1.0638315677642822
356,P-176,Tub,0.1,Inf,Q,5,6.178865909576416
357,P-176,Tub,0.1,Inf,V,5,0.7962395548820496
358,P-182,Tub,0.1,Inf,Q,5,6.106841087341309
359,P-182,Tub,0.1,Inf,V,5,0.7869580984115601
360,J-74,Nod,0.1,Inf,P,6,47.59608459472656
361,J-80,Nod,0.1,Inf,P,6,48.6356201171875
362,J-112,Nod,0.1,Inf,P,6,48.75487518310547
363,J-126,Nod,0.1,Inf,P,6,49.525882720947266
364,J-143,Nod,0.1,Inf,P,6,47.83719253540039
365,J-145,Nod,0.1,Inf,P,6,47.970802307128906
366,J-191,Nod,0.1,Inf,P,6,49.02852249145508
367,J-236,Nod,0.1,Inf,P,6,50.26015853881836
368,J-253,Nod,0.1,Inf,P,6,12.85116195678711
369,J-266,Nod,0.1,Inf,P,6,12.286178588867188
370,J-286,Nod,0.1,Inf,P,6,14.151936531066895
371,J-292,Nod,0.1,Inf,P,6,10.028059959411621
372,J-297,Nod,0.1,Inf,P,6,13.04593276977539
373,J-299,Nod,0.1,Inf,P,6,12.784605979919434
374,J-304,Nod,0.1,Inf,P,6,11.871359825134277
375,J-332,Nod,0.1,Inf,P,6,13.545506477355957
376,J-336,Nod,0.1,Inf,P,6,47.804203033447266
377,J-357,Nod,0.1,Inf,P,6,13.338141441345215
378,J-361,Nod,0.1,Inf,P,6,12.84454345703125
379,J-371,Nod,0.1,Inf,P,6,49.07288360595703
380,P-2,Tub,0.1,Inf,Q,6,12.317892074584961
381,P-2,Tub,0.1,Inf,V,6,0.6752649545669556
382,P-4,Tub,0.1,Inf,Q,6,36.245479583740234
383,P-4,Tub,0.1,Inf,V,6,0.7074891924858093
384,P-6,Tub,0.1,Inf,Q,6,5.448984146118164
385,P-6,Tub,0.1,Inf,V,6,0.29871249198913574
386,P-7,Tub,0.1,Inf,Q,6,5.025979995727539
387,P-7,Tub,0.1,Inf,V,6,0.6298069357872009
388,P-9,Tub,0.1,Inf,Q,6,5.529266357421875
389,P-9,Tub,0.1,Inf,V,6,0.30311354994773865
390,P-10,Tub,0.1,Inf,Q,6,7.487486362457275
391,P-10,Tub,0.1,Inf,V,6,0.9382590055465698
392,P-11,Tub,0.1,Inf,Q,6,15.2821683883667
393,P-11,Tub,0.1,Inf,V,6,0.837766170501709
